ID,present,WC_alt,WC_bio1,WC_bio4,WC_bio12,ER_minTempWarmest,lon,lat
271,0,126,18.200000762939453,72.589996337890625,1149,218,-94.875,32.041666666666686
272,0,467,4.300000190734863,124.0999984741211,440,131,-99.45833333333334,47.875
273,0,1568,14.399999618530273,73.3499984741211,282,166,-107.625,32.125
274,0,23,18.100000381469727,72.54000091552734,1353,219,-91.875,32.45833333333335
275,0,2346,7,68.0199966430664,422,79,-108.625,33.95833333333334
276,0,883,14.5,84.62999725341797,538,189,-101.04166666666669,35.04166666666668
277,0,768,4.400000095367432,103.58999633789062,335,104,-111.95833333333334,50.375
278,0,260,9.699999809265137,106.26000213623047,979,180,-93.20833333333336,41.375
279,0,729,3.5,118.27999877929688,364,116,-104.45833333333334,49.375
280,0,1084,8.300000190734863,98.33000183105469,472,150,-101.45833333333334,41.625
281,0,775,5.699999809265137,108.63999938964844,311,119,-107.375,47.95833333333331
282,0,416,4.800000190734863,121.48999786376953,687,145,-94.95833333333334,46.208333333333314
283,0,216,12.399999618530273,87.55999755859375,1162,183,-86.20833333333336,38.29166666666667
284,0,117,17.799999237060547,69.5,1428,210,-90.125,32.041666666666686
285,0,1813,1.7000000476837158,76.08000183105469,670,42,-113.79166666666667,48.791666666666636
286,0,1216,14.699999809265137,78.55999755859375,352,173,-104.125,33.70833333333334
287,0,201,9.899999618530273,100.62999725341797,926,169,-88.04166666666669,40.875
288,0,798,7.900000095367432,104.6500015258789,408,153,-102.875,44.54166666666665
289,0,609,21.100000381469727,64.54000091552734,317,226,-101.625,29.375
290,0,175,7.699999809265137,91.44000244140625,814,146,-86.79166666666669,43.95833333333332
291,0,195,15.5,77.16999816894531,1418,196,-87.45833333333336,34.625
292,0,2268,6.300000190734863,80.3499984741211,536,88,-107.79166666666667,37.29166666666667
293,0,2274,1.399999976158142,78.62000274658203,641,41,-110.20833333333334,45.375
294,0,271,11.899999618530273,85.88999938964844,1148,173,-84.04166666666669,38.375
295,0,145,12.899999618530273,93.2699966430664,956,198,-89.875,38.541666666666664
296,0,483,22.200000762939453,61.66999816894531,356,224,-101.54166666666669,27.208333333333364
297,0,261,7.400000095367432,107.0199966430664,802,153,-89.20833333333336,43.625
298,0,855,5.699999809265137,106.94999694824219,402,129,-103.125,46.458333333333314
299,0,1828,8.399999618530273,88.410003662109375,334,116,-107.625,38.791666666666664
300,0,107,20.799999237060547,61.84000015258789,872,222,-97.45833333333334,29.041666666666693
301,0,2359,0.30000001192092896,86.910003662109375,590,36,-111.70833333333334,44.79166666666665
302,0,266,9.800000190734863,95.720001220703125,946,166,-85.375,40.54166666666666
303,0,1358,14.899999618530273,73.3499984741211,463,171,-111.875,34.875
304,0,1856,12,75.30000305175781,342,144,-106.29166666666667,33.875
305,0,501,12.300000190734863,78.55999755859375,1317,166,-83.625,36.625
306,0,267,11.899999618530273,84.7699966430664,1146,169,-83.625,38.375
307,0,796,18.5,72.81999969482422,383,214,-102.04166666666669,30.625
308,0,1365,5,77.70999908447266,408,66,-114.125,46.708333333333314
309,0,476,4.599999904632568,110.4000015258789,818,128,-89.375,45.29166666666665
310,0,585,12.199999809265137,76.0999984741211,1146,163,-82.125,36.625
311,0,209,12.800000190734863,85.470001220703125,1181,179,-85.45833333333336,38.125
312,0,1476,13.5,72.029998779296875,369,151,-108.54166666666667,32.95833333333335
313,0,1910,9.699999809265137,68.18000030517578,472,105,-109.125,33.625
314,0,444,3.700000047683716,125.80000305175781,447,136,-98.79166666666669,47.95833333333331
315,0,460,4.400000095367432,122.44000244140625,427,130,-100.70833333333334,48.20833333333331
316,0,747,6.5,108.36000061035156,343,131,-104.625,46.875
317,0,862,11,96.23999786376953,532,171,-100.625,39.625
318,0,98,14.899999618530273,86.7699966430664,1225,207,-90.45833333333336,36.29166666666667
319,0,272,21.100000381469727,67.55000305175781,518,233,-100.375,28.95833333333336
320,0,641,17.899999618530273,71.589996337890625,611,202,-99.79166666666669,31.125
321,0,251,10.600000381469727,101.19999694824219,926,178,-92.375,40.54166666666666
322,0,827,9.300000190734863,99.69999694824219,531,160,-100.375,40.95833333333333
323,0,521,16,88.160003662109375,629,208,-99.625,34.875
324,0,1208,5.099999904632568,85.68000030517578,353,92,-112.54166666666667,48.375
325,0,1127,16.200000762939453,71.36000061035156,450,185,-112.04166666666667,34.29166666666668
326,0,26,18.100000381469727,72.04000091552734,1326,218,-92.125,32.45833333333335
327,0,829,11.800000190734863,96.79000091552734,524,180,-100.375,38.29166666666667
328,0,78,16.700000762939453,76.95999908447266,1337,209,-91.875,33.79166666666668
329,0,1348,8.699999809265137,93.23999786376953,414,132,-112.20833333333333,41.70833333333333
330,0,182,8.5,96.220001220703125,865,165,-87.79166666666669,42.45833333333332
331,0,1485,16,64.43000030517578,312,166,-104.20833333333334,30.208333333333357
332,0,401,4.900000095367432,111.76000213623047,826,131,-90.54166666666669,45.04166666666665
333,0,356,9.800000190734863,86.589996337890625,984,152,-80.2916666666667,40.375
334,0,82,18.799999237060547,67.25,1421,216,-92.95833333333336,31.375
335,0,31,18.700000762939453,69.94000244140625,1371,218,-93.04166666666669,31.625
336,0,302,10.5,86.470001220703125,980,156,-79.95833333333337,40.20833333333333
337,0,181,10.399999618530273,102.16000366210938,924,179,-90.29166666666669,40.70833333333333
338,0,1706,8.600000381469727,86.8499984741211,374,129,-103.95833333333334,39.375
339,0,766,8.600000381469727,102.72000122070312,590,158,-99.79166666666669,41.95833333333333
